,portfolio_return,portfolio_equity
2024-01-23,0.0,10000.0
2024-01-24,0.0,10000.0
2024-01-25,0.0,10000.0
2024-01-26,0.0,10000.0
2024-01-29,0.0,10000.0
2024-01-30,0.0,10000.0
2024-01-31,0.0,10000.0
2024-02-01,-0.0029447385887598782,9970.552614112401
2024-02-02,0.00037309342964014623,9974.272561782609
2024-02-05,0.002955881829165475,10003.755332807126
2024-02-06,0.0005330959482389618,10009.088294242221
2024-02-07,0.002063609830630896,10029.743147241872
2024-02-08,0.0007980080788525943,10037.746963302188
2024-02-09,0.0035686672151249215,10073.568341803844
2024-02-12,0.001591908671473315,10089.604542599842
2024-02-13,-0.004295442860447429,10046.265222802593
2024-02-14,-0.00016269086499915152,10044.630787223483
2024-02-15,0.0032500514778264094,10077.27635435772
2024-02-16,-0.002893236731689734,10048.120408253904
2024-02-20,-0.0033364051644319596,10014.595807430971
2024-02-21,0.001652334718300181,10031.143271773333
2024-02-22,-0.009131211688459415,9939.546779081506
2024-02-23,-0.0052942767668971834,9886.924067495525
2024-02-26,-0.008849518741627468,9799.429547663178
2024-02-27,0.002225700838662724,9821.240146225828
2024-02-28,-0.00768160339042043,9745.797274620445
2024-02-29,0.012293191024166084,9865.604222200152
2024-03-01,-0.008401189587222451,9782.721410736947
2024-03-04,-0.011414425610344168,9671.057264927369
2024-03-05,0.0044453301776167355,9714.04830763661
2024-03-06,-0.00774893963381722,9638.77473370075
2024-03-07,-0.004900145502669631,9591.54333503816
2024-03-08,0.011302621518535309,9699.952919132726
2024-03-11,0.0157065850997995,9852.306055121133
2024-03-12,-0.008728763135254284,9766.307609229949
2024-03-13,0.008022637324177654,9844.659153175158
2024-03-14,0.007708035233927396,9920.542132793838
2024-03-15,0.0024721361403304944,9945.067063531991
2024-03-18,0.022793154044040153,10171.746509089386
2024-03-19,-0.0007483143271016628,10164.134845444987
2024-03-20,0.0034448893769789984,10199.149165600244
2024-03-21,0.01684831269211428,10370.987619935791
2024-03-22,0.010457135172491796,10479.4384393497
