,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2024-01-23,105.5397491455078,75.16036987304688,6.910789934907605,,0,-0.5212727389991528,0,0.0,-0.0038888735271449537,-0.1103498449071122,-0.0,0.0,-0.0,10000.0
2024-01-24,103.8447494506836,72.92355346679688,6.878850365019648,,0,-0.5212727389991528,0,0.0,-0.016060296793839357,-0.029760582738326047,-0.0,0.0,-0.0,10000.0
2024-01-25,106.68224334716795,75.06652069091797,6.920905716440345,,0,-0.5212727389991528,0,0.0,0.027324384829219506,0.029386489306185704,0.0,0.0,0.0,10000.0
2024-01-26,106.4762191772461,75.07433319091797,6.9190269030049345,,0,-0.5212727389991528,0,0.0,-0.0019311945780087214,0.00010407435868997617,-0.0,0.0,-0.0,10000.0
2024-01-29,107.00064086914062,75.37934875488281,6.926053621762296,,0,-0.5212727389991528,0,0.0,0.004925247120406873,0.004062847460651664,0.0,0.0,0.0,10000.0
2024-01-30,107.23475646972656,74.8866195678711,6.924820646801169,,0,-0.5212727389991528,0,0.0,0.0021879831623836665,-0.006536660174844,-0.0,0.0,-0.0,10000.0
2024-01-31,106.7009735107422,73.79167938232422,6.912152555053154,,0,-0.5212727389991528,0,0.0,-0.004977704771820468,-0.014621306073971052,-0.0,0.0,-0.0,10000.0
2024-02-01,108.43343353271484,75.01177215576172,6.936807137045566,,0,-0.5212727389991528,0,0.0,0.01623659058554172,0.016534286570658585,0.0,0.0,0.0,10000.0
2024-02-02,106.5417709350586,74.19837951660156,6.913524483982422,,0,-0.5212727389991528,0,0.0,-0.017445381336979704,-0.010843533165316388,-0.0,0.0,-0.0,10000.0
2024-02-05,104.6781997680664,72.52467346191406,6.883985151119319,-0.3354129299273442,0,-0.5212727389991528,0,0.0,-0.017491460397519698,-0.02255717800835555,-0.0,0.0,-0.0,10000.0
2024-02-06,104.706298828125,73.33024597167969,6.890011697964611,-0.2640951019685273,0,-0.5212727389991528,0,0.0,0.00026843277894395,0.01110756479570596,0.0,0.0,0.0,10000.0
2024-02-07,104.81867218017578,73.3927993774414,6.891528822177186,-0.2566502255120892,0,-0.5212727389991528,0,0.0,0.001073224374354309,0.0008530369008428185,0.0,0.0,0.0,10000.0
2024-02-08,105.75514221191406,72.89225006103516,6.896856006509434,-0.19547720737659763,0,-0.5212727389991528,0,0.0,0.008934190943847842,-0.006820142039167143,0.0,0.0,0.0,10000.0
2024-02-09,105.92371368408205,72.65763854980469,6.89676823846454,-0.2216696781471227,0,-0.5212727389991528,0,0.0,0.0015939789653933722,-0.0032186070677475698,-0.0,0.0,-0.0,10000.0
2024-02-12,106.75714874267578,74.01066589355469,6.914223544528997,0.00990049979113534,0,-0.5212727389991528,0,0.0,0.007868257537490209,0.01862195593960214,0.0,0.0,0.0,10000.0
2024-02-13,104.65011596679688,72.46991729736328,6.883323118291937,-0.47239879586592404,0,-0.5212727389991528,0,0.0,-0.019736690242239785,-0.02081792641086866,-0.0,0.0,-0.0,10000.0
2024-02-14,105.80197143554688,72.28221130371094,6.892917802084232,-0.3485220644470611,0,-0.5212727389991528,0,0.0,0.011006729023744777,-0.0025901229179293717,0.0,0.0,0.0,10000.0
2024-02-15,107.010009765625,73.45101165771484,6.912632564942794,-0.06325792706676667,0,-0.5212727389991528,0,0.0,0.011417918907248747,0.01616995845759228,0.0,0.0,0.0,10000.0
2024-02-16,106.71033477783205,72.55255889892578,6.903412671664375,-0.22214513747875933,0,-0.5212727389991528,0,0.0,-0.0028004388416495996,-0.01223199978478029,-0.0,0.0,-0.0,10000.0
2024-02-20,106.46685791015624,73.00574493408203,6.90437430920478,-0.2182967999897388,0,-0.5212727389991528,0,0.0,-0.002281661548365732,0.0062463135971204675,0.0,0.0,0.0,10000.0
2024-02-21,107.4033203125,72.91829681396484,6.912506894928715,-0.10001717334379312,0,-0.5212727389991528,0,0.0,0.008795811398266462,-0.0011978251875403023,0.0,0.0,0.0,10000.0
2024-02-22,106.93508911132812,73.33174896240234,6.911085111726452,-0.13616156493568732,0,-0.5212727389991528,0,0.0,-0.004359559833062021,0.00567007413094589,-0.0,0.0,-0.0,10000.0
2024-02-23,106.34564208984376,73.61001586914062,6.907531962965608,-0.20558305476655855,0,-0.5212727389991528,0,0.0,-0.005512194606867471,0.0037946307114664624,-0.0,0.0,-0.0,10000.0
2024-02-26,105.27050018310548,73.00574493408203,6.893073795500463,-0.44839387226566446,0,-0.5212727389991528,0,0.0,-0.010109882131606018,-0.00820908578708679,-0.0,0.0,-0.0,10000.0
2024-02-27,106.12872314453124,73.38740539550781,6.903911310959913,-0.28030476843641894,0,-0.5212727389991528,0,0.0,0.008152549479037097,0.0052278140818970975,0.0,0.0,0.0,10000.0
2024-02-28,106.06271362304688,72.71952819824219,6.8985234729904175,-0.3812167884659145,0,-0.5212727389991528,0,0.0,-0.000621976026174087,-0.009100705954464883,-0.0,0.0,-0.0,10000.0
2024-02-29,106.48711395263672,73.24429321289062,6.906265044204835,-0.27355946450670077,0,-0.5212727389991528,0,0.0,0.004001409308630244,0.007216287394190335,0.0,0.0,0.0,10000.0
2024-03-01,106.31735229492188,73.03756713867188,6.903196242886071,-0.3505607812999522,0,-0.5212727389991528,0,0.0,-0.001594199067037838,-0.0028224188554578644,-0.0,0.0,-0.0,10000.0
