Date,A,AAPL,ABBV,ABT,ACGL,ACN,ADBE,ADI,ADM,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,AON,AOS,APA,APD,APH,APO,APTV,ARE,ARES,ATO,AWK,AXP,GOOG,GOOGL,LNT,MMM,MO,T
2018-01-02,63.400840759277344,40.23238754272461,68.28711700439453,50.148406982421875,27.988113403320312,133.94766235351562,177.6999969482422,77.39030456542969,31.005117416381836,45.83636474609375,53.30548095703125,7.847522735595703,35.91001892089844,47.74892807006836,84.53498077392578,55.18077850341797,65.55999755859375,117.20604705810547,224.6199951171875,83.91920471191406,71.90876770019531,48.26258850097656,40.55520248413086,10.979999542236328,68.7158203125,135.9480743408203,144.0003204345703,112.75811767578125,59.45050048828125,14.439374923706055,122.05831909179688,52.44915008544922,35.1873664855957,134.556640625,20.27170181274414,24.938676834106445,84.59197235107422,94.40065002441406,14.66256046295166,69.02506256103516,74.92753601074219,88.05138397216797,52.784610748291016,53.188865661621094,31.983776092529297,146.81712341308594,37.77787780761719,15.710729598999023
2018-01-03,65.01397705078125,40.225372314453125,69.35572052001953,50.25929260253906,28.013469696044922,134.5658416748047,181.0399932861328,78.35040283203125,30.76537322998047,45.60087203979492,52.85641860961914,7.840309143066406,36.01616668701172,48.27857971191406,84.77351379394531,55.59793472290039,65.94000244140625,117.43767547607422,231.1999969482422,83.9686050415039,72.21471405029297,49.117923736572266,40.55520248413086,11.550000190734863,69.3203125,138.513427734375,143.28843688964844,113.19751739501953,60.209999084472656,14.725000381469727,124.0076904296875,52.76454162597656,36.00548553466797,135.28836059570312,20.534910202026367,25.43596076965332,85.99676513671875,93.95748138427734,14.626267433166504,68.45687866210938,74.39765930175781,88.59423828125,53.65098190307617,54.096317291259766,31.702760696411133,146.81089782714844,37.63903045654297,15.347929000854492
2018-01-04,64.52627563476562,40.41222381591797,68.96016693115234,50.174007415771484,28.11806869506836,136.1592254638672,183.22000122070312,78.26468658447266,31.283536911010742,45.082763671875,52.230682373046875,7.81145715713501,36.38762664794922,48.47118377685547,85.23353576660156,56.11271667480469,65.5999984741211,116.03868865966797,233.3000030517578,82.99703216552734,73.22256469726562,49.39999008178711,40.55520248413086,12.119999885559082,69.8775863647461,137.92967224121094,143.81382751464844,111.5436782836914,60.47949981689453,14.54312515258789,125.70643615722656,53.01174545288086,37.20487976074219,135.80862426757812,20.463335037231445,25.46565818786621,87.34262084960938,92.08293914794922,14.517393112182617,68.1646728515625,73.69107818603516,90.0678482055664,53.84526062011719,54.306453704833984,31.330591201782227,148.72991943359375,37.489498138427734,15.490604400634766
2018-01-05,65.5579605102539,40.872318267822266,70.1606216430664,50.31901168823242,28.007131576538086,137.28237915039062,185.33999633789062,78.58184051513672,31.07471466064453,45.051361083984375,52.12024688720703,7.840309143066406,36.628456115722656,48.67179870605469,86.30696868896484,56.3701286315918,65.83000183105469,117.37531280517578,241.07000732421875,83.8780517578125,73.40253448486328,49.68207550048828,40.55520248413086,11.880000114440918,69.69813537597656,138.75152587890625,144.3054656982422,112.26275634765625,61.457000732421875,14.798125267028809,126.7739028930664,53.693687438964844,36.847442626953125,136.9468231201172,20.712682723999023,25.591833114624023,89.95571899414062,92.27186584472656,14.589980125427246,67.5234603881836,72.96772766113281,90.27326202392578,54.62984085083008,55.02656555175781,31.201467514038086,149.88880920410156,37.59630584716797,15.5476713180542
2018-01-08,65.69863891601562,40.72051239013672,69.0365219116211,50.174007415771484,28.01030158996582,138.37945556640625,185.0399932861328,78.71900939941406,31.005117416381836,45.585174560546875,52.57666015625,7.840309143066406,36.72235107421875,48.35081100463867,84.93537139892578,56.40562438964844,65.87999725341797,122.48133850097656,248.89999389648438,83.48281860351562,73.1055908203125,50.8831787109375,40.55520248413086,12.279999732971191,70.16094970703125,138.71311950683594,145.7716064453125,113.461181640625,62.34349822998047,15.69124984741211,126.78318786621094,53.94939041137695,36.47412109375,137.09315490722656,20.934343338012695,25.91840362548828,90.30937957763672,92.47531127929688,15.025497436523438,67.7344970703125,73.59857940673828,89.44268798828125,54.863285064697266,55.22084426879883,31.55084228515625,149.40277099609375,37.54823303222656,15.592514038085938
2018-01-09,67.3117904663086,40.71585464477539,69.55693054199219,50.25929260253906,27.64896011352539,138.84095764160156,186.6999969482422,78.55612182617188,31.10565757751465,44.99641036987305,51.95829772949219,7.760969161987305,36.738677978515625,48.655765533447266,84.43274688720703,56.47664260864258,67.48999786376953,120.69021606445312,251.44000244140625,83.1123046875,74.6263427734375,49.91866683959961,40.55520248413086,11.819999694824219,69.89649963378906,140.84837341308594,147.53443908691406,112.69417572021484,62.6349983215332,15.623749732971191,127.09882354736328,53.90678405761719,35.385929107666016,137.44268798828125,20.966665267944336,26.489913940429688,91.11491394042969,91.7778091430664,15.533611297607422,67.03642272949219,72.93408203125,89.77312469482422,54.829586029052734,55.15046691894531,31.072336196899414,150.33116149902344,37.15306091308594,15.551862716674805
2018-01-10,66.39265441894531,40.70648956298828,69.1752700805664,50.18252182006836,27.496816635131836,138.3533172607422,187.11000061035156,77.24454498291016,30.86591339111328,44.33702087402344,51.16323471069336,7.775391101837158,37.04074478149414,48.952674865722656,82.20073699951172,56.423377990722656,66.33000183105469,118.48030090332031,248.30999755859375,82.6923828125,74.32942199707031,48.49916458129883,40.55520248413086,11.960000038146973,69.63201141357422,140.44898986816406,149.01756286621094,109.94573211669922,62.71649932861328,15.767499923706055,126.85745239257812,54.05169677734375,34.941131591796875,136.8655242919922,20.666513442993164,26.393430709838867,88.86528778076172,91.02220153808594,16.15059471130371,65.58352661132812,72.08454895019531,90.39827728271484,54.648677825927734,55.01913070678711,30.525484085083008,150.24395751953125,37.53756332397461,15.190966606140137
2018-01-11,66.40203094482422,40.93771743774414,69.37796020507812,50.52537536621094,28.16878318786621,138.53616333007812,188.9199981689453,78.17037963867188,31.36861801147461,44.07795333862305,50.59640121459961,7.905224800109863,37.42854309082031,49.073062896728516,81.60444641113281,56.27249526977539,65.20999908447266,120.0218734741211,252.91000366210938,82.98056030273438,75.93116760253906,48.408172607421875,40.55520248413086,12.140000343322754,70.4349136352539,139.75772094726562,151.6872100830078,107.83644104003906,63.83399963378906,16.299375534057617,125.56719207763672,55.19393539428711,36.53767395019531,138.1825408935547,20.962053298950195,26.638362884521484,90.43708038330078,90.89141845703125,16.658702850341797,64.93419647216797,71.27706909179688,89.960693359375,54.79290771484375,55.11378860473633,30.2596435546875,150.972900390625,37.53756332397461,15.13288688659668
2018-01-12,67.2742919921875,41.36045455932617,70.12576293945312,50.43109130859375,28.745662689208984,139.40684509277344,195.0500030517578,78.88188171386719,31.322219848632812,43.583404541015625,49.661476135253906,7.962926864624023,34.67314147949219,48.9286003112793,81.2636489868164,56.69853973388672,65.5199966430664,118.97932434082031,258.42999267578125,84.07564544677734,76.52509307861328,48.635650634765625,40.55520248413086,12.020000457763672,71.02995300292969,142.12335205078125,154.2806396484375,106.26250457763672,65.26000213623047,16.189374923706055,126.75536346435547,55.6798095703125,37.459041595458984,138.32888793945312,21.202173233032227,26.861034393310547,91.27210235595703,90.90596008300781,16.658702850341797,64.80433654785156,67.98828125,90.17500305175781,55.622589111328125,56.03562545776367,30.02419090270996,152.31871032714844,37.17441940307617,15.307110786437988
2018-01-16,66.80533599853516,41.15025329589844,71.62835693359375,50.0882453918457,28.96436882019043,137.534912109375,192.4600067138672,79.80768585205078,31.538747787475586,43.53630447387695,49.690921783447266,7.7032647132873535,35.265045166015625,49.00082778930664,79.98577117919922,56.290245056152344,64.5,114.06046295166016,263.8800048828125,84.0921401977539,75.65220642089844,49.59107208251953,40.55520248413086,11.90999984741211,70.75602722167969,142.50738525390625,150.2718963623047,108.36380004882812,65.24299621582031,15.798125267028809,124.88955688476562,55.46670150756836,36.75212860107422,135.56472778320312,21.07518196105957,26.037166595458984,90.92826843261719,90.76789855957031,16.876466751098633,65.0153579711914,69.15743255615234,89.61236572265625,55.597816467285156,56.0380973815918,30.046981811523438,152.48696899414062,36.805931091308594,15.232443809509277
