,price_a,price_b,spread,zscore,position,hedge_ratio,raw_position,tradable_position,return_a,return_b,gross_strategy_return,transaction_cost,strategy_return,equity
2024-01-23,352.9225158691406,145.7476043701172,1.620563818193057,0.9448080702811643,0,0.8522260252455826,0,0.0,0.007216347322510863,0.007191957408174909,0.0,0.0,0.0,10454.138073733899
2024-01-24,352.0065002441406,147.3930206298828,1.6083976350711158,0.26162177792301794,0,0.8522260252455826,0,0.0,-0.0025955148334588785,0.011289490944819791,-0.0,0.0,-0.0,10454.138073733899
2024-01-25,354.9073181152344,150.53515625,1.5986277960542115,-0.31521863753455076,0,0.8522260252455826,0,0.0,0.008240807681340723,0.021318076030257815,-0.0,0.0,-0.0,10454.138073733899
2024-01-26,354.0771789550781,150.8523712158203,1.594492062993262,-0.6122230726506185,0,0.8522260252455826,0,0.0,-0.0023390308336406207,0.002107248391156613,-0.0,0.0,-0.0,10454.138073733899
2024-01-29,356.25274658203125,152.16075134277344,1.5932578973061107,-0.7035409986132483,0,0.8522260252455826,0,0.0,0.006144331677555348,0.008673248662967703,-0.0,0.0,-0.0,10454.138073733899
2024-01-30,354.2966003417969,150.1287841796875,1.5992092414827255,-0.3447920845399162,0,0.8522260252455826,0,0.0,-0.005490894481522068,-0.013354082081972085,0.0,0.0,0.0,10454.138073733899
2024-01-31,347.2164001464844,138.86862182617188,1.6454669869849923,2.242090919000126,-1,0.8522260252455826,-1,0.0,-0.01998382199683002,-0.07500335405393321,0.0,0.0,0.0,10454.138073733899
2024-02-01,353.9244689941406,139.91932678222656,1.6581784718827306,2.703898531048892,-1,0.8522260252455826,-1,-1.0,0.019319562223518938,0.00756617976212004,-0.01287146691855381,0.0018522260252455825,-0.014723692943799391,10300.214554744158
2024-02-02,355.8710632324219,141.12860107421875,1.656329581315723,2.3749944201552813,-1,0.8522260252455826,-1,-1.0,0.005500027290606724,0.008642653733421213,0.0018654671482007312,0.0,0.0018654671482007312,10319.429266615454
2024-02-05,353.38055419921875,142.41714477539062,1.641560875783596,1.5975728128996889,-1,0.8522260252455826,-1,-1.0,-0.006998346565695757,0.009130280406409064,0.014779409145827375,0.0,0.014779409145827375,10471.94433389819
2024-02-06,347.9989013671875,142.8334503173828,1.6237271213316182,0.7173747767142009,-1,0.8522260252455826,-1,-1.0,-0.015229057649271072,0.0029231420321531587,0.017720235364561254,0.0,0.017720235364561254,10657.50965221945
2024-02-07,349.85955810546875,144.2607879638672,1.620585567988389,0.5389865397410941,-1,0.8522260252455826,-1,-1.0,0.005346731644758851,0.009993020845696643,0.0031695807907654496,0.0,0.0031695807907654496,10691.289490090523
2024-02-08,351.60577392578125,144.6275634765625,1.623400353753527,0.6736010589161794,-1,0.8522260252455826,-1,-1.0,0.004991190836027171,0.0025424477286730696,-0.002824450713825461,0.0,-0.002824450713825461,10661.092469858522
2024-02-09,354.649658203125,147.69041442871094,1.614160619244485,0.25378190118495647,-1,0.8522260252455826,-1,-1.0,0.00865709411810256,0.02117750502410143,0.009390926813205757,0.0,0.009390926813205757,10761.210008991782
2024-02-12,350.60382080078125,146.2333221435547,1.6111367550644422,0.13393475213938372,0,0.8522260252455826,0,-1.0,-0.011407983368269647,-0.009865855484206598,0.0030000445633169264,0.0,0.0030000445633169264,10793.49411857397
2024-02-13,346.1954345703125,143.86434936523438,1.6124024117626936,0.22626357016449689,0,0.8522260252455826,0,0.0,-0.012573697058976596,-0.01619995185498646,0.0,0.0018522260252455825,-0.0018522260252455825,10773.502127864213
2024-02-14,353.9912414550781,144.65728759765625,1.6299868043396808,1.1202609873674618,0,0.8522260252455826,0,0.0,0.022518514417850577,0.005511707632366969,0.0,0.0,0.0,10773.502127864213
2024-02-15,354.49700927734375,141.51516723632812,1.6501298614519246,1.9736375329663778,0,0.8522260252455826,0,0.0,0.00142875801160125,-0.02172113423049582,0.0,0.0,0.0,10773.502127864213
2024-02-16,352.5599670410156,139.28492736816406,1.6581884837583587,2.1513754476333555,-1,0.8522260252455826,-1,0.0,-0.005464199092333311,-0.01575972322768482,0.0,0.0,0.0,10773.502127864213
2024-02-20,346.3289794921875,139.87965393066406,1.6367257522414391,1.1283283628322753,-1,0.8522260252455826,-1,-1.0,-0.01767355381021818,0.004269855854022175,0.02131243609306308,0.0018522260252455825,0.019460210067817497,10983.156742438527
2024-02-21,344.3824462890625,141.29708862304688,1.622497070049076,0.45875007876711477,-1,0.8522260252455826,-1,-1.0,-0.005620474515240281,0.01013324420351669,0.014256288945646149,0.0,0.014256288945646149,11139.735798494052
2024-02-22,354.30615234375,142.82354736328125,1.6417482637941045,1.26478374257068,-1,0.8522260252455826,-1,-1.0,0.028815946229610923,0.010803186074885618,-0.019609189901022728,0.0,-0.019609189901022728,10921.294603774164
2024-02-23,360.0409851074219,142.69468688964844,1.65857401542279,1.8634528091720144,-1,0.8522260252455826,-1,-1.0,0.016186094217488733,-0.0009022354927583631,-0.016955002785317683,0.0,-0.016955002785317683,10736.124023347897
2024-02-26,360.1935729980469,136.36087036132812,1.697690891511816,2.9979525875021467,-1,0.8522260252455826,-1,-1.0,0.0004238070023596663,-0.04438719244829703,-0.038251727594382584,0.0,-0.038251727594382584,10325.448731787288
2024-02-27,360.6039123535156,137.65936279296875,1.6907525597671906,2.4486800613168254,-1,0.8522260252455826,-1,-1.0,0.0011392189817638343,0.009522470985994014,0.006976078617146227,0.0,0.006976078617146227,10397.479873897548
