ticker_a,ticker_b,lookback,entry_z,exit_z,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return,cointegration_p_value
AMP,APH,90,2.5,0.25,1.2892145203161895,0.14687152710532936,0.14634186390785894,1.0036193552776116,-0.13676043536683158,23,23,46.0,0.7391304347826086,0.04094474393626409,0.0003843527959290547
AMP,APH,90,2.0,0.25,1.7551461113080276,0.18257204584301978,0.18616409203278647,0.9807049461013455,-0.14242376875436802,34,34,68.0,0.7058823529411765,0.03425261509274182,0.0003843527959290547
AMP,APH,90,2.0,0.5,1.2816457546564886,0.14624324610129102,0.15962469254277745,0.9161693204959479,-0.18413681021334416,34,34,68.0,0.7647058823529411,0.02816404632808575,0.0003843527959290547
AMP,APH,90,1.5,0.5,1.7056956111173607,0.17903345267360327,0.2016017478863317,0.8880550617772768,-0.19713139776036737,54,54,108.0,0.6851851851851852,0.022118170795692338,0.0003843527959290547
AMP,APH,90,2.5,0.5,0.8340832519606673,0.10556957797811717,0.11927281070308544,0.8851101718472894,-0.16623339025856554,22,22,44.0,0.8181818181818182,0.031412086257306744,0.0003843527959290547
AMP,APH,90,1.5,0.25,1.6752948170424031,0.176831144119856,0.22073325976893673,0.8011078362407306,-0.1748744068795579,52,52,104.0,0.6153846153846154,0.023459357374696368,0.0003843527959290547
AMP,APH,60,2.0,0.5,1.1758600589133277,0.1372747541016226,0.1766307580183259,0.7771848778873496,-0.16950827498161058,44,44,88.0,0.7954545454545454,0.02139465379958313,0.0003843527959290547
AMP,APH,60,2.0,0.25,1.315403154504557,0.14903214579260138,0.2010293265873423,0.7413452968408099,-0.16950827498161092,46,46,92.0,0.7608695652173914,0.02211626032729,0.0003843527959290547
AMP,APH,60,2.5,0.25,0.611135426281399,0.08211313749006544,0.13139360336640604,0.6249401446209188,-0.16950827498161036,26,26,52.0,0.7307692307692307,0.02195996557096078,0.0003843527959290547
AMP,APH,60,1.5,0.5,0.9372329147172931,0.11562423653824627,0.2006264325959802,0.5763160668419468,-0.16950827498161058,55,55,110.0,0.6909090909090909,0.015863010798594333,0.0003843527959290547
AMP,APH,40,2.0,0.25,0.8975095248714933,0.11180628847339857,0.19423362855465276,0.575627862720687,-0.2561735987542021,53,53,106.0,0.6792452830188679,0.016500264214164218,0.0003843527959290547
AMP,APH,40,1.5,0.25,1.035763974298317,0.12481975625497577,0.22222914826945178,0.561671397415574,-0.20438819812442266,68,68,136.0,0.6617647058823529,0.014501554026895042,0.0003843527959290547
AMP,APH,60,1.5,0.25,1.0113890887454873,0.12258011194347818,0.21931607464930794,0.5589198700527854,-0.18635053547919278,55,55,110.0,0.6545454545454545,0.016634156882763318,0.0003843527959290547
AMP,APH,60,2.5,0.5,0.4667814432144264,0.0654358429443338,0.12431610768073588,0.5263665679783328,-0.17248014722364857,25,25,50.0,0.72,0.018894834263666657,0.0003843527959290547
AMP,APH,40,1.5,0.5,0.5434425851024409,0.07445487733112621,0.1964806305018224,0.3789425814695542,-0.23325806732316146,71,71,142.0,0.6901408450704225,0.010050875084859238,0.0003843527959290547
AMP,APH,40,2.5,0.5,0.17793287648352307,0.027466832758481052,0.13831947942109138,0.1985753046023453,-0.19491176756809148,25,25,50.0,0.72,0.01087416987109743,0.0003843527959290547
AMP,APH,40,2.5,0.25,0.19995014845147963,0.030620017581151737,0.15481228593895832,0.19778803339435896,-0.2528371147668318,30,30,60.0,0.6666666666666666,0.010354763097324011,0.0003843527959290547
AMP,APH,40,2.0,0.5,0.19710373373951762,0.03021510202517863,0.16408246071168223,0.18414583675869628,-0.27429669296687864,49,49,98.0,0.673469387755102,0.007506717854021527,0.0003843527959290547
AMP,APH,40,2.5,0.0,-0.3005181609559242,-0.05742425543434626,0.2772404327658477,-0.20712799666867407,-0.3447072451352178,69,68,137.0,0.5072463768115942,-0.0001670889522099321,0.0003843527959290547
