date,portfolio_return,portfolio_equity
2022-06-01,0.0,10000.0
2022-06-02,0.0,10000.0
2022-06-03,0.0,10000.0
2022-06-06,0.0,10000.0
2022-06-07,0.029500816871136728,10295.008168711369
2022-06-08,0.003079382992380579,10326.710441772517
2022-06-09,-0.00807662242195209,10243.305500673492
2022-06-10,-0.00582676704716172,10183.620145728159
2022-06-13,0.011171988302882305,10297.39143087723
2022-06-14,0.0020414513331350054,10318.413054341607
2022-06-15,-0.007951355253042018,10236.36768649891
2022-06-16,0.007892933073968622,10317.16265156898
2022-06-17,-0.0012239424704639072,10304.535038025042
2022-06-20,-0.009162290885970868,10210.121890561979
2022-06-21,0.006591565941192798,10277.422582271234
2022-06-22,-0.00661757069529164,10209.411011767666
2022-06-23,-0.0051886353680974835,10156.438100704565
2022-06-24,-0.012144487700282765,10033.093363111875
2022-06-27,-0.01036288751370971,9929.1215451754
2022-06-28,-0.005273536080121079,9876.75996446301
2022-06-29,0.01288899237883631,10004.061448372568
2022-06-30,-0.013300287739777076,9871.004552542801
2022-07-01,-0.020353508368449905,9670.094978777614
2022-07-04,0.01971779683758917,9860.767946969341
2022-07-05,-0.011818456165741198,9744.228893227539
2022-07-06,-0.0002953374157365671,9741.351057847867
2022-07-07,0.0068892903027711104,9808.462053226587
2022-07-08,-0.027220289953222163,9541.472872142582
2022-07-11,-0.006803021743355487,9476.56202472976
2022-07-12,0.01614921128620649,9629.601027133962
2022-07-13,-0.010904836978109586,9524.59179776883
2022-07-14,0.006034740869986388,9582.07024116076
2022-07-15,0.0013613104845814304,9595.114413844047
2022-07-18,-0.007000884065880661,9527.940130233865
2022-07-19,0.02536566376067646,9769.622655909234
2022-07-20,0.035006482954191245,10111.6227848822
2022-07-21,-0.0018946565530601138,10092.46473251075
2022-07-22,0.0010192997869552277,10102.751979662453
2022-07-25,-0.004428103460664663,10058.015948659071
2022-07-26,-0.0031170361245114048,10026.664749606189
2022-07-27,0.005810279767364577,10084.922476934973
2022-07-28,-0.01681336630582503,9915.360981164416
2022-07-29,0.0008553542290380111,9923.842127112093
2022-08-01,0.011044241032835474,10033.443431535725
2022-08-02,-0.004247908413816854,9990.822282763349
2022-08-03,-0.002236944536380785,9968.47336744397
2022-08-04,-0.00862559926010681,9882.48931094135
2022-08-05,0.011873584669908685,9999.82988452428
2022-08-08,0.00289233028861827,10028.75269538032
2022-08-09,0.003545597866833009,10064.310619544056
2022-08-10,0.01612750787699235,10226.62286833725
2022-08-11,0.0023324316125853547,10250.47576680535
2022-08-12,-0.024832310627093828,9995.932768488541
2022-08-15,0.025821021569756835,10254.037964113522
2022-08-16,-0.006564762267579612,10186.722642596382
2022-08-17,0.001830751241147562,10205.37199771754
2022-08-18,-0.0002611865190687423,10202.706492129657
2022-08-19,0.0033153688111107957,10236.532227022579
2022-08-22,-0.009002979740182123,10144.372934772973
2022-08-23,-0.0025238755279409545,10118.769800176595
2022-08-24,0.0013222123718379126,10132.148962794168
2022-08-25,-0.0018403681450070992,10113.502078602574
2022-08-26,0.0014074527355104071,10127.736354768693
2022-08-29,-0.006166307181981964,10065.285621347062
2022-08-30,0.009617387280990672,10162.087371261343
2022-08-31,-0.01127616609392633,10047.49798620201
2022-09-01,-0.014731902700562504,9899.479223485185
2022-09-02,0.03720693271682729,10267.808480885025
2022-09-05,-0.006529168092580473,10200.768233370904
2022-09-06,0.007280784471036102,10275.037828317068
2022-09-07,-0.0022687540704035693,10251.726294420523
2022-09-08,0.0191472501377786,10448.018662123832
2022-09-09,0.016928883151169413,10624.891949216164
2022-09-12,-0.0009485619382510656,10614.813581115108
2022-09-13,-0.0011181122177095233,10602.945028361355
2022-09-14,0.011925283917694185,10729.388158188269
2022-09-15,-0.0002953374157365671,10726.219368417194
2022-09-16,0.0,10726.219368417194
2022-09-19,0.0,10726.219368417194
2022-09-20,0.0,10726.219368417194
2022-09-21,0.0,10726.219368417194
2022-09-22,0.0,10726.219368417194
2022-09-23,0.0,10726.219368417194
2022-09-26,0.0,10726.219368417194
2022-09-27,0.0,10726.219368417194
2022-09-28,-0.00036441391069622965,10722.310584870163
2022-09-29,0.052440844799970625,11284.597610148421
2022-09-30,-0.03300462128996338,10912.153739615846
2022-10-03,0.01840151832702416,11112.95393664269
2022-10-04,0.0003166729270444593,11116.473108293918
2022-10-05,0.016241014969370332,11297.015914452322
2022-10-06,0.002003543692697254,11319.649979434023
2022-10-07,-0.00734893905544479,11236.462561606195
