total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return,ticker_a,ticker_b,hedge_ratio,cointegration_p_value,lookback,entry_z,exit_z
1.351241484601994,1.220977130632705,0.34412010627603495,3.5481133138245102,-0.098311047073677,15,15,30.0,0.9333333333333333,0.059994978471628234,ALPHA,BETA,1.026309449400019,1.2933190591754426e-16,60,1.5,0.25
0.6269865890347306,0.5750404372877294,0.343937739466076,1.6719317809683052,-0.24723454297170389,17,16,33.0,0.9411764705882353,0.031270919812899464,BETA,DELTA,-0.7720244944194025,7.55780397109993e-08,40,1.5,0.5
0.20990954108183435,0.19463721981967952,0.2599464326706597,0.7487589570666509,-0.1824033891656086,7,7,14.0,0.7142857142857143,0.031004212171939955,BETA,GAMMA,-0.5671191144124537,5.749035663338795e-05,60,2.0,0.5
