ticker_a,ticker_b,period,lookback,entry_z,exit_z,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,entries,exits,turnover,win_rate,average_trade_return
ALPHA,BETA,in_sample,60,1.5,0.25,3.6150871216103617,0.8436223379585095,0.27565780505519105,3.0603970665354567,-0.1174999665915678,29,29,58.0,0.9655172413793104,0.055605326150847546
ALPHA,BETA,out_of_sample,60,1.5,0.25,1.351241484601994,1.220977130632705,0.34412010627603495,3.5481133138245102,-0.098311047073677,15,15,30.0,0.9333333333333333,0.059994978471628234
BETA,DELTA,in_sample,40,1.5,0.5,2.7068116294494926,0.6888854987950865,0.3233977144856552,2.1301495586965355,-0.22731738202243312,40,40,80.0,0.825,0.035219567901508965
BETA,DELTA,out_of_sample,40,1.5,0.5,0.6269865890347306,0.5750404372877294,0.343937739466076,1.6719317809683052,-0.24723454297170389,17,16,33.0,0.9411764705882353,0.031270919812899464
BETA,GAMMA,in_sample,60,2.0,0.5,1.647561143573276,0.47617688122169777,0.2556724254855763,1.8624491097048759,-0.1376907430147315,21,21,42.0,0.9047619047619048,0.049434082230724465
BETA,GAMMA,out_of_sample,60,2.0,0.5,0.20990954108183435,0.19463721981967952,0.2599464326706597,0.7487589570666509,-0.1824033891656086,7,7,14.0,0.7142857142857143,0.031004212171939955
